,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,5,6,demande,request
5,6,7,genre,kind
6,7,8,mois,month
7,8,9,frère,brother
8,9,10,laisser,let
9,10,11,car,because
10,11,12,mettre,to put
11,12,13,aucun,no
12,13,14,laisse,leash
13,14,15,eux,them
14,15,16,ville,city
15,17,18,parlé,speak
16,18,19,devrait,should
17,19,20,bébé,baby
18,21,23,vont,will
19,22,24,pendant,while
20,23,25,revoir,meet again
21,24,26,aucune,any
22,25,27,place,square
23,26,28,parle,speak
24,27,29,compris,understood
25,28,30,savais,knew
26,29,31,étaient,were
27,30,32,attention,Warning
28,31,33,voici,here is
29,32,34,pourrais,could
30,33,35,affaire,case
31,34,37,type,type
32,36,39,donné,given
33,37,40,train,train
34,38,41,corps,body
35,39,42,endroit,place
36,40,44,façon,way
37,41,45,écoute,listen
38,42,46,dont,whose
39,43,47,trouve,find
40,44,48,premier,first
41,45,49,perdu,lost
42,46,50,main,hand
43,47,51,première,first
44,48,53,pouvoir,power
45,49,54,vieux,old
46,50,55,sois,be
47,52,57,matin,morning
48,53,58,tellement,so much
49,54,59,enfant,child
50,55,60,point,point
51,56,61,venu,came
52,57,62,suite,after
53,58,63,pardon,sorry
54,59,64,venez,come
55,60,65,devant,in front of
56,61,66,vers,towards
57,62,67,minutes,minutes
58,63,68,demandé,request
59,64,69,mis,placed
60,65,70,belle,beautiful
61,66,71,droit,law
62,67,72,aimerais,would like to
63,68,73,aujourd'hui,today
64,69,74,mari,husband
65,70,75,cause,cause
66,71,76,enfin,finally
67,72,77,espère,hope
68,73,78,eau,water
69,74,79,attendez,Wait
70,75,80,parti,left
71,76,81,boulot,job
72,77,82,arrêter,Stop
73,78,83,dirait,would say
74,79,84,terre,Earth
75,81,86,donne,given
76,82,87,loin,far
77,83,88,fin,end
78,84,89,croire,believe
79,85,90,chérie,sweetheart
80,86,91,gros,large
81,87,92,plutôt,rather
82,88,93,aura,will have
83,89,94,filles,girls
84,90,95,jouer,to play
